"station","date","source","var","uni","val","qual","bswqstation","lbs","nrmrng","lbunis","inrng"
"93","2021-03-23","epchc","do","mgl",6.56,NA,"93","DO (mg/L)","6.14-7.32","(mg/L)","in range"
"94","2021-03-23","epchc","do","mgl",6.71,NA,"93","DO (mg/L)","6.14-7.32","(mg/L)","in range"
"95","2021-03-23","epchc","do","mgl",6.52,NA,"95","DO (mg/L)","6.43-7.13","(mg/L)","in range"
"96","2021-03-23","epchc","do","mgl",7.42,NA,"95","DO (mg/L)","6.43-7.13","(mg/L)","above"
"16","2021-03-23","epchc","dosat","per",86.1,NA,"16","DO (% sat.)","86.3-94.5","(% sat.)","below"
"19","2021-03-23","epchc","dosat","per",86,NA,"19","DO (% sat.)","86.6-93.2","(% sat.)","below"
"21","2021-03-23","epchc","dosat","per",86,NA,"21","DO (% sat.)","85-93.6","(% sat.)","in range"
"22","2021-03-23","epchc","dosat","per",99.9,NA,"22","DO (% sat.)","75.9-100.9","(% sat.)","in range"
"23","2021-03-23","epchc","dosat","per",86.9,NA,"23","DO (% sat.)","84.4-97","(% sat.)","in range"
"24","2021-03-23","epchc","dosat","per",88.9,NA,"24","DO (% sat.)","84.2-94.8","(% sat.)","in range"
"25","2021-03-23","epchc","dosat","per",96.6,NA,"25","DO (% sat.)","87.4-115.8","(% sat.)","in range"
"28","2021-03-23","epchc","dosat","per",87.4,NA,"28","DO (% sat.)","82.3-100.1","(% sat.)","in range"
"82","2021-03-23","epchc","dosat","per",90.4,NA,"82","DO (% sat.)","83.1-101.3","(% sat.)","in range"
"84","2021-03-23","epchc","dosat","per",84.2,NA,"84","DO (% sat.)","83.2-93.8","(% sat.)","in range"
"90","2021-03-23","epchc","dosat","per",84.1,NA,"90","DO (% sat.)","82.6-94.4","(% sat.)","in range"
"91","2021-03-23","epchc","dosat","per",87.1,NA,"91","DO (% sat.)","84.4-97","(% sat.)","in range"
"92","2021-03-23","epchc","dosat","per",89.1,NA,"92","DO (% sat.)","84.4-98.2","(% sat.)","in range"
"93","2021-03-23","epchc","dosat","per",88.2,NA,"93","DO (% sat.)","84.5-99.3","(% sat.)","in range"
"94","2021-03-23","epchc","dosat","per",90.4,NA,"93","DO (% sat.)","84.5-99.3","(% sat.)","in range"
"95","2021-03-23","epchc","dosat","per",87.5,NA,"95","DO (% sat.)","89.2-96","(% sat.)","below"
"96","2021-03-23","epchc","dosat","per",98.6,NA,"95","DO (% sat.)","89.2-96","(% sat.)","above"
"16","2021-03-23","epchc","nh34","mgl",0.02,"U","16","NH3, NH4+ (mg/L)","0.0026-0.0464","(mg/L)","in range"
"19","2021-03-23","epchc","nh34","mgl",0.02,"U","19","NH3, NH4+ (mg/L)","0-0.0449","(mg/L)","in range"
"21","2021-03-23","epchc","nh34","mgl",0.02,"U","21","NH3, NH4+ (mg/L)","0-0.0483","(mg/L)","in range"
"22","2021-03-23","epchc","nh34","mgl",0.02,"U","22","NH3, NH4+ (mg/L)","0-0.0561","(mg/L)","in range"
"23","2021-03-23","epchc","nh34","mgl",0.02,"U","23","NH3, NH4+ (mg/L)","0-0.0567","(mg/L)","in range"
"24","2021-03-23","epchc","nh34","mgl",0.02,"U","24","NH3, NH4+ (mg/L)","0-0.0564","(mg/L)","in range"
