"date","station","var","uni","val"
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",32.1
"1957-10-16","Johns Pass, 0.125 mi NE of bridge","sal","ppt",33.2
"1957-10-18","Station A 7, USFWS 1954-57","sal","ppt",31.8
"1957-10-21","Station A 24, USFWS 1957-59","sal","ppt",29
"1957-10-21","Station A 7, USFWS 1954-57","sal","ppt",32.5
"1957-10-24","Station A 17, USFWS 1954-57","sal","ppt",27.9
"1957-10-24","Station A 24, USFWS 1957-59","sal","ppt",29.5
"1957-10-24","Station A 7, USFWS 1954-57","sal","ppt",32.9
"1957-10-28","Station A 24, USFWS 1957-59","sal","ppt",27.8
"1957-10-28","Station A 17, USFWS 1954-57","sal","ppt",28.6
"1957-10-28","Station A 7, USFWS 1954-57","sal","ppt",32.4
"1957-11-04","Station A 24, USFWS 1957-59","sal","ppt",30.1
"1957-11-04","Station A 24a, USFWS 1957-59","sal","ppt",28.4
"1957-11-14","Station A 17, USFWS 1954-57","sal","ppt",29.8
"1957-11-14","Station A 24, USFWS 1957-59","sal","ppt",28.7
"1957-11-14","Station A 7, USFWS 1954-57","sal","ppt",33.4
"1957-11-18","Station A 7, USFWS 1954-57","sal","ppt",33
"1957-11-18","Station A 17, USFWS 1954-57","sal","ppt",30.2
"1957-11-18","Station A 24, USFWS 1957-59","sal","ppt",32.3
"1957-11-21","Station A 24, USFWS 1957-59","sal","ppt",32.4
"1957-11-21","Station A 24, USFWS 1957-59","sal","ppt",32.4
"1957-11-25","Station A 24a, USFWS 1957-59","sal","ppt",28.9
"1957-11-25","Station A 17, USFWS 1954-57","sal","ppt",30.2
"1957-11-25","Station A 24, USFWS 1957-59","sal","ppt",31.7
"1957-11-25","Station A 7, USFWS 1954-57","sal","ppt",32.7
"1957-11-26","Station a 10c, USFWS 1957-59","sal","ppt",31.8
"1957-11-27","Station a 10c, USFWS 1957-59","sal","ppt",33.9
"1957-11-29","Station a 10c, USFWS 1957-59","sal","ppt",33.7
"1957-11-29","Station A 7d, USFWS 1957-59","sal","ppt",33.1
"1957-11-29","Station a 10e, USFWS 1957-59","sal","ppt",32.6
"1957-11-29","Station a 10e, USFWS 1957-59","sal","ppt",33.1
"1957-12-02","Station A 24, USFWS 1957-59","sal","ppt",33.4
"1957-12-02","Station A 24a, USFWS 1957-59","sal","ppt",29.9
"1957-12-02","Station A 17, USFWS 1954-57","sal","ppt",30.4
"1957-12-02","Station A 7, USFWS 1954-57","sal","ppt",33.2
"1957-12-03","Station A 7d, USFWS 1957-59","sal","ppt",33.2
"1957-12-03","Station a 10c, USFWS 1957-59","sal","ppt",32.1
"1957-12-03","Station a 10e, USFWS 1957-59","sal","ppt",31.8
"1957-12-06","Station A 24a, USFWS 1957-59","sal","ppt",28.4
"1957-12-06","Station A 17, USFWS 1954-57","sal","ppt",30.1
"1957-12-06","Station A 7, USFWS 1954-57","sal","ppt",32.2
"1957-12-12","Pier Bait House, St. Petersburg","sal","ppt",26.5
"1957-12-12","Pier Bait House, St. Petersburg","sal","ppt",26.5
"1957-12-12","Station A 24a, USFWS 1957-59","sal","ppt",28.7
"1957-12-12","Station A 17, USFWS 1954-57","sal","ppt",30.4
"1957-12-12","Station A 7, USFWS 1954-57","sal","ppt",31.9
"1957-12-19","Station A 24a, USFWS 1957-59","sal","ppt",29.3
"1957-12-19","Station A 17, USFWS 1954-57","sal","ppt",29.2
"1957-12-19","Station A 7, USFWS 1954-57","sal","ppt",33.5
"1958-01-10","Station a 10e, USFWS 1957-59","sal","ppt",30.4
"1958-01-10","Station A 7d, USFWS 1957-59","sal","ppt",30.5
"1958-01-22","Station a 10e, USFWS 1957-59","sal","ppt",30.8
"1958-01-22","Station a 10e, USFWS 1957-59","sal","ppt",30.6
"1958-01-22","Station a 10c, USFWS 1957-59","sal","ppt",31.2
"1958-01-22","Station A 7d, USFWS 1957-59","sal","ppt",31.2
"1958-01-31","Station a 10e, USFWS 1957-59","sal","ppt",29.9
"1958-01-31","Station a 10e, USFWS 1957-59","sal","ppt",29.9
"1958-01-31","Station a 10c, USFWS 1957-59","sal","ppt",31
"1958-01-31","Station a 10c, USFWS 1957-59","sal","ppt",31.9
"1958-02-10","Station a 10c, USFWS 1957-59","sal","ppt",31
"1958-02-12","Station A 24a, USFWS 1957-59","sal","ppt",26.6
"1958-02-12","Station A 17, USFWS 1954-57","sal","ppt",30.2
"1958-02-12","Station A 7, USFWS 1954-57","sal","ppt",32.2
"1958-02-18","Station A 24a, USFWS 1957-59","sal","ppt",24.7
"1958-02-18","Station A 17, USFWS 1954-57","sal","ppt",30.9
"1958-02-18","Station A 7, USFWS 1954-57","sal","ppt",30.1
"1958-03-04","Station A 7, USFWS 1954-57","sal","ppt",31.3
"1958-03-04","Station a 10e, USFWS 1957-59","sal","ppt",24.7
"1958-03-04","Station a 10e, USFWS 1957-59","sal","ppt",26.4
"1958-03-04","Station a 10c, USFWS 1957-59","sal","ppt",30.1
"1958-03-04","Station a 10c, USFWS 1957-59","sal","ppt",31
"1958-03-04","Station A 7d, USFWS 1957-59","sal","ppt",29.3
"1958-03-04","Station A 7d, USFWS 1957-59","sal","ppt",29.2
"1958-03-13","Station a 10e, USFWS 1957-59","sal","ppt",28.4
"1958-03-13","Station a 10e, USFWS 1957-59","sal","ppt",28.2
"1958-03-13","Station a 10c, USFWS 1957-59","sal","ppt",31.7
"1958-03-13","Station a 10c, USFWS 1957-59","sal","ppt",30.9
"1958-03-13","Station A 7d, USFWS 1957-59","sal","ppt",30.8
"1958-03-13","Station A 7d, USFWS 1957-59","sal","ppt",29.6
"1958-03-17","Station A 17, USFWS 1954-57","sal","ppt",29.8
"1958-03-18","Station a 10e, USFWS 1957-59","sal","ppt",28.6
"1958-03-18","Station a 10e, USFWS 1957-59","sal","ppt",28.6
"1958-03-18","Station a 10c, USFWS 1957-59","sal","ppt",30.2
"1958-03-18","Station a 10c, USFWS 1957-59","sal","ppt",31.1
"1958-03-18","Station A 7d, USFWS 1957-59","sal","ppt",29.8
"1958-03-18","Station A 7d, USFWS 1957-59","sal","ppt",30.2
"1958-03-18","Station A 7, USFWS 1954-57","sal","ppt",30.8
"1958-03-25","Station a 10e, USFWS 1957-59","sal","ppt",28.3
